Sr no,HEAD,HEAD_NAME,min_name_new
1,1101,D/o. Agriculture & Cooperation,Agriculture
2,1102,"Dte. of Extension, Delhi",Agriculture
3,1103,"Dte. of Economic & Statistics, Delhi",Agriculture
4,1104,"Dte. of Plant Protection, Faridabad",Agriculture
5,1105,Central Fertilizer Quality Cont.& Trg.Instt.  Faridabad,Agriculture
6,1106,"MANAGE, Hydrabad",Agriculture
7,1107,Coconut Development Board,Agriculture
8,1108,"National Fertilizer Dev. Centre, Ghaziabad",Agriculture
9,1109,"Dte.  of Jute Dev., Kolkata",Agriculture
10,1110,"Dte.  of Cotton Dev., Mumbai",Agriculture
11,1111,"National Seed Research & Training Centre, Varanasi",Agriculture
12,1112,"National Seeds Corporation, Delhi",Agriculture
13,1113,"National Horticulture Board, Gurgaon",Agriculture
14,1115,Agricultural Insurance Company of India Ltd.,Agriculture
15,1116,Vaikunth Mehta National Instt of Cooperative Management.,Agriculture
16,1117,"Small Farmers Agri Business Consortium, New Delhi",Agriculture
17,1118,The Multi-State Economic Development Co-Oprative Society Ltd,Agriculture
18,1119,Farm Machine Trg. Instt. Anantpur,Agriculture
19,1120,Farm Machine Trg. Instt. Hissar,Agriculture
20,1121,Farm Machine Trg. Instt. Bundi,Agriculture
21,1122,Forward Market Commission Mumbai,Agriculture
22,1123,"Dte. of Mktg. & Inspection, Faridabad",Agriculture
23,1124,"Dte. of Mktg. & Inspection, Chennai",Agriculture
24,1125,"Dte. of Mktg. & Inspection, Kolkata",Agriculture
25,1126,"Dte. of Mktg. & Inspection, Hyderabad",Agriculture
26,1127,"Dte. of Mktg. & Inspection, Lucknow",Agriculture
27,1128,"Dte. of Mktg. & Inspection, Azimgarh",Agriculture
28,1129,"Dte. of Mktg. & Inspection, Jaipur",Agriculture
29,1130,"Dte. of Mktg. & Inspection,Mumbai",Agriculture
30,1131,"Dte. of Mktg. & Inspection, Bangalore",Agriculture
31,1132,"Dte. of Mktg. & Inspection, Chandigarh",Agriculture
32,1133,"Dte. of Mktg. & Inspection, Bhopal",Agriculture
33,1134,"Dte. of Mktg. & Inspection, Cochin",Agriculture
34,1135,"Dte. of Marketing and Inspection, Dehradun",Agriculture
35,1136,"Dte. of Mktg. & Inspection, Jammu",Agriculture
36,1137,"Directorate of Marketing and Inspection, Amritsar",Agriculture
37,1138,"Central Institute of Horticulture, New Delhi",Agriculture
38,1139,"All India Soil and Land Use Survey, New Delhi",Agriculture
39,1140,"Dte. of Marketing and Inspection, New Delhi",Agriculture
40,1141,"Farm Machinery Training and Testing Institute, Sonitpur",Agriculture
41,1142,"National Cooperative Development Corporation, New Delhi",Agriculture
42,1143,National Centre Of Organic Farming,Agriculture
43,1144,National Agricultural Cooperative Marketing Federation (NAFED),Agriculture
44,1145,National Rainfed Area Authority (NRAA),Agriculture
45,1146,Plant Varieties and Farmers Right Authority,Agriculture
46,1147,"Regional Centre Of Organic Farming,Panchkula",Agriculture
47,1201,Deptt. of Animal Husbandry & Dairying,Agriculture
